"id","description","last_updated"
"2709914","Corn, fresh, cooked, fat added, NS as to fat type","2024-10-31"
"2709915","Corn, frozen, cooked, fat added, NS as to fat type","2024-10-31"
"2709916","Corn, canned, cooked, fat added, NS as to fat type","2024-10-31"
"2709917","Corn, fresh, cooked with oil","2024-10-31"
"2709918","Corn, fresh, cooked with butter or margarine","2024-10-31"
"2709919","Corn, frozen, cooked with oil","2024-10-31"
"2709920","Corn, frozen, cooked with butter or margarine","2024-10-31"
"2709921","Corn, canned, cooked with oil","2024-10-31"
"2709922","Corn, canned, cooked with butter or margarine","2024-10-31"
"2709923","Corn, creamed","2024-10-31"
"2709924","Corn, canned, reduced sodium, cooked, no added fat","2024-10-31"
"2709925","Corn, canned, reduced sodium, cooked, fat added, NS as to fat type","2024-10-31"
"2709926","Corn, canned, reduced sodium, cooked with oil","2024-10-31"
"2709927","Corn, canned, reduced sodium, cooked with butter or margarine","2024-10-31"
"2709928","Cucumber, cooked","2024-10-31"
"2709929","Eggplant, cooked, no added fat","2024-10-31"
"2709930","Eggplant, cooked, fat added","2024-10-31"
"2709931","Flowers or blossoms of sesbania, squash, or lily, cooked","2024-10-31"
"2709932","Garlic, cooked","2024-10-31"
"2709933","Hominy, cooked","2024-10-31"
"2709934","Kohlrabi, cooked","2024-10-31"
"2709935","Leeks","2024-10-31"
"2709936","Lotus root, cooked","2024-10-31"
"2709937","Mushrooms, fresh, cooked, no added fat","2024-10-31"
"2709938","Mushrooms, NS as to form, cooked","2024-10-31"
"2709939","Mushrooms, fresh, cooked, fat added, NS as to fat type","2024-10-31"
"2709940","Mushrooms, canned, cooked","2024-10-31"
"2709941","Mushrooms, fresh, cooked with oil","2024-10-31"
"2709942","Mushrooms, fresh, cooked with butter or margarine","2024-10-31"
"2709943","Mushroom, Asian, cooked, from dried","2024-10-31"
"2709944","Okra, fresh, cooked, no added fat","2024-10-31"
"2709945","Okra, frozen, cooked, no added fat","2024-10-31"
"2709946","Okra, NS as to form, cooked","2024-10-31"
"2709947","Okra, fresh, cooked, fat added","2024-10-31"
"2709948","Okra, frozen, cooked, fat added","2024-10-31"
"2709949","Lettuce, cooked","2024-10-31"
"2709950","Onions, cooked, no added fat","2024-10-31"
"2709951","Onions, cooked, fat added","2024-10-31"
"2709952","Onions, pearl, cooked","2024-10-31"
"2709953","Onions, green, cooked","2024-10-31"
"2709954","Palm hearts, cooked","2024-10-31"
"2709955","Parsnips, cooked","2024-10-31"
"2709956","Blackeyed peas, from frozen","2024-10-31"
"2709957","Blackeyed peas, from canned","2024-10-31"
"2709958","Green peas, cooked, from restaurant","2024-10-31"
"2709959","Green peas, fresh, cooked, no added fat","2024-10-31"
"2709960","Green peas, frozen, cooked, no added fat","2024-10-31"
"2709961","Green peas, canned, cooked, no added fat","2024-10-31"
"2709962","Green peas, NS as to form, cooked","2024-10-31"
"2709963","Green peas, fresh, cooked, fat added, NS as to fat type","2024-10-31"
"2709964","Green peas, frozen, cooked, fat added, NS as to fat type","2024-10-31"
"2709965","Green peas, canned, cooked, fat added, NS as to fat type","2024-10-31"
"2709966","Green peas, fresh, cooked with oil","2024-10-31"
"2709967","Green peas, fresh, cooked with butter or margarine","2024-10-31"
"2709968","Green peas, frozen, cooked with oil","2024-10-31"
"2709969","Green peas, frozen, cooked with butter or margarine","2024-10-31"
"2709970","Green peas, canned, cooked with oil","2024-10-31"
"2709971","Green peas, canned, cooked with butter or margarine","2024-10-31"
"2709972","Green peas, canned, reduced sodium, cooked, no added fat","2024-10-31"
"2709973","Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type","2024-10-31"
"2709974","Green peas, canned, reduced sodium, cooked with oil","2024-10-31"
"2709975","Green peas, canned, reduced sodium, cooked with butter or margarine","2024-10-31"
"2709976","Peppers, green, cooked","2024-10-31"
"2709977","Peppers, red, cooked","2024-10-31"
"2709978","Peppers, hot, cooked","2024-10-31"
"2709979","Pimiento","2024-10-31"
"2709980","Rutabaga, cooked","2024-10-31"
"2709981","Salsify, cooked","2024-10-31"
"2709982","Sauerkraut","2024-10-31"
"2709983","Snowpeas, fresh, cooked, no added fat","2024-10-31"
"2709984","Snowpeas, frozen, cooked, no added fat","2024-10-31"
"2709985","Snowpeas, NS as to form, cooked","2024-10-31"
"2709986","Snowpeas, fresh, cooked, fat added","2024-10-31"
"2709987","Snowpeas, frozen, cooked, fat added","2024-10-31"
"2709988","Seaweed, dried","2024-10-31"
"2709989","Seaweed, cooked, no added fat","2024-10-31"
"2709990","Seaweed, cooked, fat added","2024-10-31"
"2709991","Summer squash, yellow or green, fresh, cooked, no added fat","2024-10-31"
"2709992","Summer squash, yellow or green, frozen, cooked, no added fat","2024-10-31"
"2709993","Summer squash, yellow or green, NS as to form, cooked","2024-10-31"
"2709994","Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type","2024-10-31"
"2709995","Summer squash, yellow or green, frozen, cooked, fat added, NS as to fat type","2024-10-31"
"2709996","Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type","2024-10-31"
"2709997","Summer squash, yellow or green, fresh, cooked with oil","2024-10-31"
"2709998","Summer squash, yellow or green, fresh, cooked with butter or margarine","2024-10-31"
"2709999","Summer squash, yellow or green, frozen, cooked with oil","2024-10-31"
"2710000","Summer squash, yellow or green, frozen, cooked with butter or margarine","2024-10-31"
"2710001","Spaghetti squash, cooked","2024-10-31"
"2710002","Turnip, cooked","2024-10-31"
"2710003","Water Chesnut","2024-10-31"
"2710004","Winter melon, cooked","2024-10-31"
"2710005","Yeast","2024-10-31"
"2710006","Yeast extract spread","2024-10-31"
"2710007","Lima beans and corn, cooked, no added fat","2024-10-31"
"2710008","Lima beans and corn, cooked, fat added","2024-10-31"
"2710009","Bean salad, yellow and/or green string beans","2024-10-31"
"2710010","Peppers and onions, cooked, no added fat","2024-10-31"
"2710011","Peppers and onions, cooked, fat added","2024-10-31"
"2710012","Classic mixed vegetables, cooked, from restaurant","2024-10-31"
"2710013","Classic mixed vegetables, frozen, cooked, no added fat","2024-10-31"
"2710014","Classic mixed vegetables, canned, cooked, no added fat","2024-10-31"
"2710015","Classic mixed vegetables, NS as to form, cooked","2024-10-31"
"2710016","Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type","2024-10-31"
"2710017","Classic mixed vegetables, canned, cooked, fat added, NS as to fat type","2024-10-31"
"2710018","Classic mixed vegetables, frozen, cooked with oil","2024-10-31"
"2710019","Classic mixed vegetables, frozen, cooked with butter or margarine","2024-10-31"
"2710020","Classic mixed vegetables, canned, cooked with oil","2024-10-31"
"2710021","Classic mixed vegetables, canned, cooked with butter or margarine","2024-10-31"
"2710022","Classic mixed vegetables, canned, reduced sodium, cooked, no added fat","2024-10-31"
"2710023","Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type","2024-10-31"
"2710024","Classic mixed vegetables, canned, reduced sodium, cooked with oil","2024-10-31"
"2710025","Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine","2024-10-31"
"2710026","Peas and corn, cooked, no added fat","2024-10-31"
"2710027","Peas and corn, cooked, fat added","2024-10-31"
"2710028","Ratatouille","2024-10-31"
"2710029","Vegetables, stew type, cooked, fat added","2024-10-31"
"2710030","Vegetables, stew type, cooked, no added fat","2024-10-31"
"2710031","Broccoli and cauliflower, cooked, no added fat","2024-10-31"
"2710032","Broccoli and cauliflower, cooked, fat added","2024-10-31"
"2710033","Broccoli, cauliflower and carrots, cooked, no added fat","2024-10-31"
"2710034","Broccoli, cauliflower and carrots, cooked, fat added","2024-10-31"
"2710035","Asian stir fry vegetables, cooked, no added fat","2024-10-31"
"2710036","Asian stir fry vegetables, cooked, fat added","2024-10-31"
"2710037","Jai, Monk's Food","2024-10-31"
"2710038","Vegetable mixture, dried","2024-10-31"
"2710039","Artichokes, stuffed","2024-10-31"
"2710040","Green bean casserole","2024-10-31"
"2710041","Green beans, cooked, Szechuan-style","2024-10-31"
"2710042","Fried cauliflower","2024-10-31"
"2710043","Chiles rellenos, cheese-filled","2024-10-31"
"2710044","Chiles rellenos, filled with meat and cheese","2024-10-31"
"2710045","Stuffed jalapeno pepper","2024-10-31"
"2710046","Corn, scalloped or pudding","2024-10-31"
"2710047","Fritter, corn","2024-10-31"
"2710048","Fried eggplant","2024-10-31"
"2710049","Eggplant dip","2024-10-31"
"2710050","Eggplant parmesan casserole, regular","2024-10-31"
"2710051","Eggplant with cheese and tomato sauce","2024-10-31"
"2710052","Mushrooms, stuffed","2024-10-31"
"2710053","Fried mushrooms","2024-10-31"
"2710054","Fried okra","2024-10-31"
"2710055","Fried onion rings","2024-10-31"
"2710056","Pea salad","2024-10-31"
"2710057","Pea salad with cheese","2024-10-31"
"2710058","Fried summer squash, yellow or green","2024-10-31"
"2710059","Squash, summer, casserole with tomato and cheese","2024-10-31"
"2710060","Squash, summer, casserole, with rice and tomato sauce","2024-10-31"
"2710061","Squash, summer, casserole, with cheese sauce","2024-10-31"
"2710062","Squash, summer, souffle","2024-10-31"
"2710063","Stew, vegetable","2024-10-31"
"2710064","Chow mein or chop suey, meatless, no noodles","2024-10-31"
"2710065","Vegetable tempura","2024-10-31"
"2710066","Pakora","2024-10-31"
"2710067","Vegetable curry","2024-10-31"
"2710068","Vegetable curry with rice","2024-10-31"
"2710069","Chow mein or chop suey, meatless, with noodles","2024-10-31"
"2710070","Green beans, pickled","2024-10-31"
"2710071","Beets, pickled","2024-10-31"
"2710072","Celery, pickled","2024-10-31"
"2710073","Relish, corn","2024-10-31"
"2710074","Cauliflower, pickled","2024-10-31"
"2710075","Cabbage, green, pickled","2024-10-31"
"2710076","Cabbage, red, pickled","2024-10-31"
"2710077","Kimchi","2024-10-31"
"2710078","Pickles, dill","2024-10-31"
"2710079","Relish, pickle","2024-10-31"
"2710080","Pickles, sweet","2024-10-31"
"2710081","Eggplant, pickled","2024-10-31"
"2710082","Ginger root, pickled","2024-10-31"
"2710083","Horseradish","2024-10-31"
"2710084","Mushrooms, pickled","2024-10-31"
"2710085","Mustard","2024-10-31"
"2710086","Honey mustard dip","2024-10-31"
"2710087","Okra, pickled","2024-10-31"
"2710088","Olives, NFS","2024-10-31"
"2710089","Olives, green","2024-10-31"
"2710090","Olives, black","2024-10-31"
"2710091","Olives, stuffed","2024-10-31"
"2710092","Olive tapenade","2024-10-31"
"2710093","Hot pepper sauce","2024-10-31"
"2710094","Peppers, sweet, pickled","2024-10-31"
"2710095","Peppers, hot, pickled","2024-10-31"
"2710096","Peppers, jalapenos","2024-10-31"
"2710097","Pickles, NFS","2024-10-31"
"2710098","Pickles, fried","2024-10-31"
"2710099","Radishes, pickled","2024-10-31"
"2710100","Seaweed, pickled","2024-10-31"
"2710101","Vegetables, pickled","2024-10-31"
"2710102","Turnip, pickled","2024-10-31"
"2710103","Wasabi paste","2024-10-31"
"2710104","Zucchini, pickled","2024-10-31"
"2710105","Soup, borscht","2024-10-31"
"2710106","Soup, gazpacho","2024-10-31"
"2710107","Soup, cream of mushroom","2024-10-31"
"2710108","Soup, French onion","2024-10-31"
"2710109","Soup, cream of vegetable","2024-10-31"
"2710110","Soup, seaweed","2024-10-31"
"2710111","Soup, vegetable, canned","2024-10-31"
"2710112","Soup, vegetable, canned, reduced sodium","2024-10-31"
"2710113","Soup, vegetable","2024-10-31"
"2710114","Soup, minestrone","2024-10-31"
"2710115","Soup, beef","2024-10-31"
"2710116","Soup, vegetable, with meat","2024-10-31"
"2710117","Baby Toddler vegetable, NFS","2024-10-31"
"2710118","Baby Toddler carrots, Stage 1","2024-10-31"
"2710119","Baby Toddler carrots, Stage 2","2024-10-31"
"2710120","Baby Toddler squash, Stage 1","2024-10-31"
"2710121","Baby Toddler squash, Stage 2","2024-10-31"
"2710122","Baby Toddler sweet potatoes, Stage 1","2024-10-31"
"2710123","Baby Toddler sweet potatoes, Stage 2","2024-10-31"
"2710124","Baby Toddler green beans, Stage 1","2024-10-31"
"2710125","Baby Toddler green beans, Stage 2","2024-10-31"
"2710126","Baby Toddler beets","2024-10-31"
"2710127","Baby Toddler multiple vegetables, Stage 2","2024-10-31"
"2710128","Baby Toddler multiple vegetables, Stage 3","2024-10-31"
"2710129","Baby Toddler vegetables, with grain","2024-10-31"
"2710130","Baby Toddler vegetables and meat","2024-10-31"
"2710131","Baby Toddler peas, Stage 1","2024-10-31"
"2710132","Baby Toddler peas, Stage 2","2024-10-31"
"2710133","Toddler meal, NFS","2024-10-31"
"2710134","Toddler meal, meat and vegetables","2024-10-31"
"2710135","Toddler meal, rice and vegetables","2024-10-31"
"2710136","Toddler meal, pasta","2024-10-31"
"2710137","Toddler meal, pasta and vegetables","2024-10-31"
"2710138","Fried stuffed potatoes, Puerto Rican style","2024-10-31"
"2710139","Green plantain with cracklings, Puerto Rican style","2024-10-31"
"2710140","Ripe plantain meat pie, Puerto Rican style","2024-10-31"
"2710141","Puerto Rican pasteles","2024-10-31"
"2710142","Stuffed cabbage, with meat, Puerto Rican style","2024-10-31"
"2710143","Stuffed cabbage, with meat and rice, Syrian dish, Puerto Rican style","2024-10-31"
"2710144","Eggplant and meat casserole","2024-10-31"
"2710145","Vegetable and fruit juice, 100% juice, with high vitamin C","2024-10-31"
"2710146","Fruit and vegetable smoothie, with dairy","2024-10-31"
"2710147","Fruit and vegetable smoothie, added protein","2024-10-31"
"2710148","Fruit and vegetable smoothie, non-dairy","2024-10-31"
"2710149","Fruit and vegetable smoothie, non-dairy, added protein","2024-10-31"
"2710150","Fruit and vegetable smoothie, bottled","2024-10-31"
"2710151","Fruit and vegetable smoothie, no dairy","2024-10-31"
"2710152","Vegetable smoothie","2024-10-31"
"2710153","Table fat, NFS","2024-10-31"
"2710154","Butter, NFS","2024-10-31"
"2710155","Butter, stick","2024-10-31"
"2710156","Butter, tub","2024-10-31"
"2710157","Butter, light","2024-10-31"
"2710158","Margarine, NFS","2024-10-31"
"2710159","Margarine, stick","2024-10-31"
"2710160","Margarine, tub","2024-10-31"
"2710161","Butter replacement, liquid","2024-10-31"
"2710162","Margarine, light","2024-10-31"
"2710163","Butter replacement, powder","2024-10-31"
"2710164","Oil or table fat, NFS","2024-10-31"
"2710165","Animal fat or drippings","2024-10-31"
"2710166","Lard","2024-10-31"
"2710167","Shortening, NS as to vegetable or animal","2024-10-31"
"2710168","Ghee, clarified butter","2024-10-31"
"2710169","Garlic sauce","2024-10-31"
"2710170","Lemon-butter sauce","2024-10-31"
"2710171","Hollandaise sauce","2024-10-31"
"2710172","Sandwich spread","2024-10-31"
"2710173","Tartar sauce","2024-10-31"
"2710174","Horseradish sauce","2024-10-31"
"2710175","Pesto sauce","2024-10-31"
"2710176","Fry sauce","2024-10-31"
"2710177","Sauce, NFS","2024-10-31"
"2710178","Curry sauce","2024-10-31"
"2710179","Honey butter","2024-10-31"
"2710180","Vegetable oil, NFS","2024-10-31"
"2710181","Almond oil","2024-10-31"
"2710182","Coconut oil","2024-10-31"
"2710183","Corn oil","2024-10-31"
"2710184","Cottonseed oil","2024-10-31"
"2710185","Flaxseed oil","2024-10-31"
"2710186","Olive oil","2024-10-31"
"2710187","Peanut oil","2024-10-31"
"2710188","Canola oil","2024-10-31"
"2710189","Safflower oil","2024-10-31"
"2710190","Sesame oil","2024-10-31"
"2710191","Soybean oil","2024-10-31"
"2710192","Sunflower oil","2024-10-31"
"2710193","Walnut oil","2024-10-31"
"2710194","Wheat germ oil","2024-10-31"
"2710195","Salad dressing, NFS, for salads","2024-10-31"
"2710196","Salad dressing, NFS, for sandwiches","2024-10-31"
"2710197","Blue or roquefort cheese dressing","2024-10-31"
"2710198","Bacon and tomato dressing","2024-10-31"
"2710199","Caesar dressing","2024-10-31"
"2710200","Coleslaw dressing","2024-10-31"
"2710201","French or Catalina dressing","2024-10-31"
"2710202","Honey mustard dressing","2024-10-31"
"2710203","Italian dressing, made with vinegar and oil","2024-10-31"
"2710204","Mayonnaise, regular","2024-10-31"
"2710205","Vegan mayonnaise","2024-10-31"
"2710206","Russian dressing","2024-10-31"
"2710207","Mayonnaise-type salad dressing","2024-10-31"
"2710208","Avocado dressing","2024-10-31"
"2710209","Creamy Italian dressing","2024-10-31"
"2710210","Poppy seed dressing","2024-10-31"
"2710211","Sesame dressing","2024-10-31"
"2710212","Ranch dressing","2024-10-31"
"2710213","Thousand Island dressing","2024-10-31"
"2710214","Fruit dressing","2024-10-31"
"2710215","Salad dressing, light, NFS","2024-10-31"
"2710216","Blue or roquefort cheese dressing, light","2024-10-31"
"2710217","Creamy Italian dressing, light","2024-10-31"
"2710218","French or Catalina dressing, light","2024-10-31"
"2710219","Caesar dressing, light","2024-10-31"
"2710220","Mayonnaise, light","2024-10-31"
"2710221","Mayonnaise, reduced fat,  with olive oil","2024-10-31"
"2710222","Mayonnaise-type salad dressing, light","2024-10-31"
"2710223","Honey mustard dressing, light","2024-10-31"
"2710224","Italian dressing, light","2024-10-31"
"2710225","Ranch dressing, light","2024-10-31"
"2710226","Sesame dressing, light","2024-10-31"
"2710227","Thousand Island dressing, light","2024-10-31"
"2710228","Korean dressing or marinade","2024-10-31"
"2710229","Blue or roquefort cheese dressing, fat free","2024-10-31"
"2710230","Caesar dressing, fat free","2024-10-31"
"2710231","Creamy Italian dressing, fat free","2024-10-31"
"2710232","French or Catalina dressing, fat free","2024-10-31"
"2710233","Honey mustard dressing, fat free","2024-10-31"
"2710234","Italian dressing, fat free","2024-10-31"
"2710235","Mayonnaise, fat free","2024-10-31"
"2710236","Ranch dressing, fat free","2024-10-31"
"2710237","Salad dressing, fat free, NFS","2024-10-31"
"2710238","Thousand Island dressing, fat free","2024-10-31"
"2710239","Bacon, for use with vegetables","2024-10-31"
"2710240","Ham, for use with vegetables","2024-10-31"
"2710241","Beef, for use with vegetables","2024-10-31"
"2710242","Chicken, for use with vegetables","2024-10-31"
"2710243","Cream sauce, for use with vegetables","2024-10-31"
"2710244","Cheese sauce, for use with vegetables","2024-10-31"
"2710245","Gravy, for use with vegetables","2024-10-31"
"2710246","Soy based sauce, for use with vegetables","2024-10-31"
"2710247","Tomato sauce, for use with vegetables","2024-10-31"
"2710248","Avocado, for use on a sandwich","2024-10-31"
"2710249","Cucumber, for use on a sandwich","2024-10-31"
"2710250","Lettuce, for use on a sandwich","2024-10-31"
"2710251","Mushrooms, for use on a sandwich","2024-10-31"
"2710252","Onions, for use on a sandwich","2024-10-31"
"2710253","Pepper, for use on a sandwich","2024-10-31"
"2710254","Spinach, for use on a sandwich","2024-10-31"
"2710255","Tomatoes, for use on a sandwich","2024-10-31"
"2710256","Bacon, for use on a sandwich","2024-10-31"
"2710257","Sugar, NFS","2024-10-31"
"2710258","Sugar, white, granulated or lump","2024-10-31"
"2710259","Sugar, white, confectioner's, powdered","2024-10-31"
"2710260","Sugar, brown","2024-10-31"
"2710261","Sugar, cinnamon","2024-10-31"
"2710262","Sugar substitute and sugar blend","2024-10-31"
"2710263","Sugar substitute, sucralose, powder","2024-10-31"
"2710264","Sugar substitute, stevia, powder","2024-10-31"
"2710265","Sugar substitute, stevia, liquid","2024-10-31"
"2710266","Sugar substitute, monk fruit, powder","2024-10-31"
"2710267","Sugar substitute, powder, NFS","2024-10-31"
"2710268","Sugar substitute, liquid, NFS","2024-10-31"
"2710269","Sugar substitute, saccharin, powder","2024-10-31"
"2710270","Sugar substitute, saccharin, liquid","2024-10-31"
"2710271","Sugar substitute, aspartame, powder","2024-10-31"
"2710272","Syrup, NFS","2024-10-31"
"2710273","Pancake syrup","2024-10-31"
"2710274","Corn syrup","2024-10-31"
"2710275","Blueberry syrup","2024-10-31"
"2710276","Chocolate syrup","2024-10-31"
"2710277","Chocolate syrup, light","2024-10-31"
"2710278","Simple syrup","2024-10-31"
"2710279","Strawberry drink syrup","2024-10-31"
"2710280","Pancake syrup, light","2024-10-31"
"2710281","Honey","2024-10-31"
"2710282","Agave liquid sweetener","2024-10-31"
"2710283","Molasses","2024-10-31"
"2710284","Topping, butterscotch or caramel","2024-10-31"
"2710285","Topping, chocolate","2024-10-31"
"2710286","Topping, fruit","2024-10-31"
"2710287","Topping, marshmallow","2024-10-31"
"2710288","Topping, nuts and syrup","2024-10-31"
"2710289","Chocolate hazelnut spread","2024-10-31"
"2710290","Icing, chocolate","2024-10-31"
"2710291","Icing, white","2024-10-31"
"2710292","Caramel dip, regular","2024-10-31"
"2710293","Caramel dip, light","2024-10-31"
"2710294","Chocolate dip","2024-10-31"
"2710295","Dessert dip","2024-10-31"
"2710296","Sweet and sour sauce","2024-10-31"
"2710297","Dessert sauce","2024-10-31"
"2710298","Duck sauce","2024-10-31"
"2710299","Jam or jelly, NFS","2024-10-31"
"2710300","Jelly","2024-10-31"
"2710301","Jam","2024-10-31"
"2710302","Fruit butter","2024-10-31"
"2710303","Marmalade","2024-10-31"
"2710304","Jam or jelly, sugar free","2024-10-31"
"2710305","Jam or jelly, reduced sugar","2024-10-31"
"2710306","Jam or jelly, fruit juice sweetened","2024-10-31"
"2710307","Guava paste","2024-10-31"
"2710308","Sweet potato paste","2024-10-31"
"2710309","Bean paste, sweetened","2024-10-31"
"2710310","Gelatin dessert","2024-10-31"
"2710311","Gelatin dessert with fruit","2024-10-31"
"2710312","Gelatin salad with vegetables","2024-10-31"
"2710313","Gelatin dessert, sugar free","2024-10-31"
"2710314","Gelatin dessert, sugar free, with fruit","2024-10-31"
"2710315","Yokan","2024-10-31"
"2710316","Haupia","2024-10-31"
"2710317","Italian Ice","2024-10-31"
"2710318","Italian Ice, no sugar added","2024-10-31"
"2710319","Popsicle, NFS","2024-10-31"
"2710320","Popsicle","2024-10-31"
"2710321","Popsicle, no sugar added","2024-10-31"
"2710322","Freezer pop","2024-10-31"
"2710323","Snow cone","2024-10-31"
"2710324","Snow cone, no sugar added","2024-10-31"
"2710325","Candy, NFS","2024-10-31"
"2710326","Almonds, chocolate covered candy","2024-10-31"
"2710327","Chocolate candy, other, NFS","2024-10-31"
"2710328","Chocolate candy","2024-10-31"
"2710329","Chocolate candy with nuts, other, NFS","2024-10-31"
"2710330","Chocolate candy with nuts","2024-10-31"
"2710331","Chocolate candy with cereal","2024-10-31"
"2710332","Chocolate candy, cookie filled","2024-10-31"
"2710333","Chocolate chips","2024-10-31"
"2710334","Candy, sprinkles","2024-10-31"
"2710335","Dark chocolate candy, other, NFS","2024-10-31"
"2710336","Dark chocolate candy","2024-10-31"
"2710337","Dark chocolate candy with nuts, other, NFS","2024-10-31"
"2710338","Dark chocolate candy with nuts","2024-10-31"
"2710339","White chocolate candy","2024-10-31"
"2710340","Chocolate candy, fudge","2024-10-31"
"2710341","Chocolate candy, caramel filled","2024-10-31"
"2710342","Chocolate candy, caramel filled with nuts","2024-10-31"
"2710343","Chocolate candy, coconut filled","2024-10-31"
"2710344","Chocolate candy, cream filled","2024-10-31"
"2710345","Chocolate candy, nougat filled","2024-10-31"
"2710346","Chocolate candy, nougat filled with nuts","2024-10-31"
"2710347","Chocolate candy, peanut butter filled","2024-10-31"
"2710348","Chocolate candy with dried fruit","2024-10-31"
"2710349","Chocolate candy, sugar free","2024-10-31"
"2710350","Candy, non chocolate, other, NFS","2024-10-31"
"2710351","Ladoo, round ball","2024-10-31"
"2710352","Candy, licorice","2024-10-31"
"2710353","Candy, marshmallow","2024-10-31"
"2710354","Candy, caramel","2024-10-31"
"2710355","Candy, nougat with nuts","2024-10-31"
"2710356","Peanuts, chocolate covered candy","2024-10-31"
"2710357","Candy, peanut brittle","2024-10-31"
"2710358","Candy, mint","2024-10-31"
"2710359","Candy, gummy","2024-10-31"
"2710360","Candy, hard","2024-10-31"
"2710361","Candy, lollipop","2024-10-31"
"2710362","Cough drops","2024-10-31"
"2710363","Candy, cotton","2024-10-31"
"2710364","Candy, fruit flavored pieces","2024-10-31"
"2710365","Chocolate candy, candy shell","2024-10-31"
"2710366","Chocolate candy, candy shell with nuts","2024-10-31"
"2710367","Candy, fruit snacks","2024-10-31"
"2710368","Candy, fruit leather","2024-10-31"
"2710369","Candy, taffy","2024-10-31"
"2710370","Candy, non chocolate, sugar free","2024-10-31"
"2710371","Chewing gum","2024-10-31"
"2710372","Chewing gum, sugar free","2024-10-31"
"2710373","Coffee, NS as to type","2024-10-31"
"2710374","Coffee, NS as to brewed or instant","2024-10-31"
"2710375","Coffee, brewed","2024-10-31"
"2710376","Coffee, brewed, blend of regular and decaffeinated","2024-10-31"
"2710377","Coffee, Turkish","2024-10-31"
"2710378","Coffee, espresso","2024-10-31"
"2710379","Coffee, espresso, decaffeinated","2024-10-31"
"2710380","Coffee, brewed, flavored","2024-10-31"
"2710381","Coffee, Cuban","2024-10-31"
"2710382","Coffee, macchiato","2024-10-31"
"2710383","Coffee, macchiato, sweetened","2024-10-31"
"2710384","Coffee, cafe con leche","2024-10-31"
"2710385","Coffee, cafe con leche, decaffeinated","2024-10-31"
"2710386","Coffee, Latte","2024-10-31"
"2710387","Coffee, Latte, nonfat","2024-10-31"
"2710388","Coffee, Latte, with non-dairy milk","2024-10-31"
"2710389","Coffee, Latte, flavored","2024-10-31"
"2710390","Coffee, Latte, nonfat, flavored","2024-10-31"
"2710391","Coffee, Latte, with non-dairy milk, flavored","2024-10-31"
"2710392","Coffee, Latte, decaffeinated","2024-10-31"
"2710393","Coffee, Latte, decaffeinated, nonfat","2024-10-31"
"2710394","Coffee, Latte, decaffeinated, with non-dairy milk","2024-10-31"
"2710395","Coffee, Latte, decaffeinated, flavored","2024-10-31"
"2710396","Coffee, Latte, decaffeinated, nonfat, flavored","2024-10-31"
"2710397","Coffee, Latte, decaffeinated, with non-dairy milk, flavored","2024-10-31"
"2710398","Frozen coffee drink","2024-10-31"
"2710399","Frozen coffee drink, nonfat","2024-10-31"
"2710400","Frozen coffee drink, with non-dairy milk","2024-10-31"
"2710401","Frozen coffee drink, with whipped cream","2024-10-31"
"2710402","Frozen coffee drink, nonfat, with whipped cream","2024-10-31"
"2710403","Frozen coffee drink, with non-dairy milk and whipped cream","2024-10-31"
"2710404","Frozen coffee drink, decaffeinated","2024-10-31"
"2710405","Frozen coffee drink, decaffeinated, nonfat","2024-10-31"
"2710406","Frozen coffee drink, decaffeinated, with non-dairy milk","2024-10-31"
"2710407","Frozen coffee drink, decaffeinated, with whipped cream","2024-10-31"
"2710408","Frozen coffee drink, decaffeinated, nonfat, with whipped cream","2024-10-31"
"2710409","Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream","2024-10-31"
"2710410","Coffee, Cafe Mocha","2024-10-31"
"2710411","Coffee, Cafe Mocha, nonfat","2024-10-31"
"2710412","Coffee, Cafe Mocha, with non-dairy milk","2024-10-31"
"2710413","Coffee, Cafe Mocha, decaffeinated","2024-10-31"
"2710414","Coffee, Cafe Mocha, decaffeinated, nonfat","2024-10-31"
"2710415","Coffee, Cafe Mocha, decaffeinated, with non-dairy milk","2024-10-31"
"2710416","Frozen mocha coffee drink","2024-10-31"
"2710417","Frozen mocha coffee drink, nonfat","2024-10-31"
"2710418","Frozen mocha coffee drink, with non-dairy milk","2024-10-31"
"2710419","Frozen mocha coffee drink, with whipped cream","2024-10-31"
"2710420","Frozen mocha coffee drink, nonfat, with whipped cream","2024-10-31"
"2710421","Frozen mocha coffee drink, with non-dairy milk and whipped cream","2024-10-31"
"2710422","Frozen mocha coffee drink, decaffeinated","2024-10-31"
"2710423","Frozen mocha coffee drink, decaffeinated, nonfat","2024-10-31"
"2710424","Frozen mocha coffee drink, decaffeinated, with non-dairy milk","2024-10-31"
"2710425","Frozen mocha coffee drink, decaffeinated, with whipped cream","2024-10-31"
"2710426","Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream","2024-10-31"
"2710427","Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream","2024-10-31"
"2710428","Iced Coffee, brewed","2024-10-31"
